numeric_code,iso_code,country,year,human_development_groups,hdi_rank_2021,undp_developing_regions,least_devpd_country,landlock_deving_country,small_island_deving_country,population,gdp,happiness_index,gini_index,income_group,happiness_index_rank_62,co2_per_capita,consumption_co2_per_capita,material_footprint_per_capita,energy_per_capita,renewables_consumption,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,continent,sub_continent_un,hemisphere,latitude,longitude
784,ARE,United Arab Emirates,2013,Very High,26,AS,False,False,False,7831851,606587973942.0,7.144,32.5,High income,11,27.348,33.019,49.68,144520.031,0.222,0.002,0.607,-0.014,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2014,Very High,26,AS,False,False,False,8236880,631858461256.0,7.0225,31.28,High income,13,26.045,31.416,55.49,137818.312,0.792,0.002,0.605,-0.011,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2015,Very High,26,AS,False,False,False,8674633,674742705535.0,6.901,30.06,High income,17,25.943,30.139,59.76,140994.875,0.761,0.002,0.636,-0.009,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2016,Very High,26,AS,False,False,False,9030873,712265114847.0,6.573,28.84,High income,22,25.235,28.68,64.95,140575.797,0.794,0.002,0.644,-0.007,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2017,Very High,26,AS,False,False,False,9234330,717500233045.0,6.648,27.619999999999997,High income,18,21.279,25.843,75.61,131237.281,1.863,0.002,0.546,-0.007,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2018,Very High,26,AS,False,False,False,9346870,726928170282.0,6.774,26.4,High income,17,21.837,26.453,65.97,121187.641,2.98,0.002,0.556,-0.0,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2019,Very High,26,AS,False,False,False,9377855,734982504070.0,6.825,26.4,High income,18,21.76,25.242,68.95,129769.297,9.049,0.002,0.55,-0.003,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2020,Very High,26,AS,False,False,False,9448529,698549476819.0,6.791,26.4,High income,18,22.783,23.472,68.95,125363.312,12.804,0.002,0.612,-0.001,Asia,Western Asia,Northern Hemisphere,24.0,54.0
784,ARE,United Arab Emirates,2021,Very High,26,AS,False,False,False,9789055,725904671328.0,6.561,26.4,High income,19,21.675,24.475,68.95,126734.023,15.401,0.002,0.576,-0.002,Asia,Western Asia,Northern Hemisphere,24.0,54.0
32,ARG,Argentina,2013,Very High,47,LAC,False,False,False,42582453,849088398588.0,6.562,41.1,Upper middle income,23,4.451,4.785,16.74,23705.746,101.686,0.008,0.537,2.426,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
32,ARG,Argentina,2014,Very High,47,LAC,False,False,False,43024071,827750786191.0,6.568,41.8,Upper middle income,23,4.382,4.455,16.57,23080.285,102.627,0.008,0.532,4.132,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
32,ARG,Argentina,2015,Very High,47,LAC,False,False,False,43477011,850356641236.0,6.574,42.05,Upper middle income,23,4.412,4.742,17.85,23230.486,103.185,0.008,0.542,2.562,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
32,ARG,Argentina,2016,Very High,47,LAC,False,False,False,43900312,832669278245.0,6.65,42.3,Upper middle income,20,4.328,4.337,16.95,22909.215,95.882,0.008,0.537,2.457,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
32,ARG,Argentina,2017,Very High,47,LAC,False,False,False,44288898,856142153676.0,6.599,41.4,Upper middle income,21,4.224,4.363,18.75,22511.016,103.551,0.008,0.52,1.822,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
32,ARG,Argentina,2018,Very High,47,LAC,False,False,False,44654876,833736983405.0,6.388,41.7,Upper middle income,23,4.087,4.114,16.88,22081.684,106.101,0.008,0.497,2.539,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
32,ARG,Argentina,2019,Very High,47,LAC,False,False,False,44973469,817053926667.0,6.086,43.3,Upper middle income,31,4.012,3.84,15.81,20582.312,105.008,0.009,0.487,3.597,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0
