,country,iso_code,year,co2_per_capita,consumption_co2_per_capita,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,population,gdp,energy_per_capita,renewables_consumption,happiness_index,happiness_index_rank,continent,hemisphere,human_development_groups,hdi_rank_2021,undp_developing_regions,material_footprint_per_capita,gini_index
54,United Arab Emirates,ARE,2013,27.348,33.019,0.002,0.607,-0.014,7831851.0,606587973942.0,144520.031,0.222,7.144,14.0,Asia,Northern Hemisphere,Very High,26.0,AS,49.68,32.5
55,United Arab Emirates,ARE,2014,26.045,31.416,0.002,0.605,-0.011,8236880.0,631858461256.0,137818.312,0.792,7.0225,,Asia,Northern Hemisphere,Very High,26.0,AS,55.49,
56,United Arab Emirates,ARE,2015,25.943,30.139,0.002,0.636,-0.009,8674633.0,674742705535.0,140994.875,0.761,6.901,20.0,Asia,Northern Hemisphere,Very High,26.0,AS,59.76,
57,United Arab Emirates,ARE,2016,25.235,28.68,0.002,0.644,-0.007,9030873.0,712265114847.0,140575.797,0.794,6.573,28.0,Asia,Northern Hemisphere,Very High,26.0,AS,64.95,
58,United Arab Emirates,ARE,2017,21.279,25.843,0.002,0.546,-0.007,9234330.0,717500233045.0,131237.281,1.863,6.648,21.0,Asia,Northern Hemisphere,Very High,26.0,AS,75.61,
59,United Arab Emirates,ARE,2018,21.837,26.453,0.002,0.556,-0.0,9346870.0,726928170282.0,121187.641,2.98,6.774,20.0,Asia,Northern Hemisphere,Very High,26.0,AS,65.97,26.4
60,United Arab Emirates,ARE,2019,21.76,25.242,0.002,0.55,-0.003,9377855.0,734982504070.0,129769.297,9.049,6.825,21.0,Asia,Northern Hemisphere,Very High,26.0,AS,68.95,
61,United Arab Emirates,ARE,2020,22.783,23.472,0.002,0.612,-0.001,9448529.0,698549476819.0,125363.312,12.804,6.791,21.0,Asia,Northern Hemisphere,Very High,26.0,AS,68.95,
62,United Arab Emirates,ARE,2021,21.675,24.475,0.002,0.576,-0.002,9789055.0,725904671328.0,126734.023,15.401,6.561,25.0,Asia,Northern Hemisphere,Very High,26.0,AS,68.95,
63,Argentina,ARG,2013,4.451,4.785,0.008,0.537,2.426,42582453.0,849088398588.0,23705.746,101.686,6.562,29.0,America,Southern Hemisphere,Very High,47.0,LAC,16.74,41.1
64,Argentina,ARG,2014,4.382,4.455,0.008,0.532,4.132,43024071.0,827750786191.0,23080.285,102.627,6.568,,America,Southern Hemisphere,Very High,47.0,LAC,16.57,41.8
65,Argentina,ARG,2015,4.412,4.742,0.008,0.542,2.562,43477011.0,850356641236.0,23230.486,103.185,6.574,30.0,America,Southern Hemisphere,Very High,47.0,LAC,17.85,
66,Argentina,ARG,2016,4.328,4.337,0.008,0.537,2.457,43900312.0,832669278245.0,22909.215,95.882,6.65,26.0,America,Southern Hemisphere,Very High,47.0,LAC,16.95,42.3
67,Argentina,ARG,2017,4.224,4.363,0.008,0.52,1.822,44288898.0,856142153676.0,22511.016,103.551,6.599,24.0,America,Southern Hemisphere,Very High,47.0,LAC,18.75,41.4
68,Argentina,ARG,2018,4.087,4.114,0.008,0.497,2.539,44654876.0,833736983405.0,22081.684,106.101,6.388,29.0,America,Southern Hemisphere,Very High,47.0,LAC,16.88,41.7
69,Argentina,ARG,2019,4.012,3.84,0.009,0.487,3.597,44973469.0,817053926667.0,20582.312,105.008,6.086,47.0,America,Southern Hemisphere,Very High,47.0,LAC,15.81,43.3
70,Argentina,ARG,2020,3.643,3.542,0.009,0.468,2.855,45191960.0,735814250460.0,19117.824,101.519,5.975,55.0,America,Southern Hemisphere,Very High,47.0,LAC,15.81,42.7
71,Argentina,ARG,2021,4.197,4.023,0.009,0.516,3.484,45312282.0,812324184006.0,20925.615,103.147,5.929,57.0,America,Southern Hemisphere,Very High,47.0,LAC,15.81,42.4
99,Australia,AUS,2013,17.122,16.621,0.013,1.128,7.076,23236271.0,1086068056518.0,66946.461,95.674,7.35,10.0,Oceania,Southern Hemisphere,Very High,5.0,,45.97,
100,Australia,AUS,2014,16.639,16.296,0.013,1.107,3.546,23595599.0,1113888062929.0,66387.727,88.418,7.317,,Oceania,Southern Hemisphere,Very High,5.0,,47.8,34.4
101,Australia,AUS,2015,16.727,16.169,0.013,1.131,1.59,23947997.0,1139303344945.0,66879.32,95.058,7.284,10.0,Oceania,Southern Hemisphere,Very High,5.0,,46.91,
102,Australia,AUS,2016,16.838,16.026,0.013,1.157,3.922,24329963.0,1169967279612.0,66045.68,108.587,7.313,9.0,Oceania,Southern Hemisphere,Very High,5.0,,46.32,33.7
103,Australia,AUS,2017,16.716,16.013,0.013,1.149,3.634,24731044.0,1197832839959.0,64778.02,101.723,7.284,9.0,Oceania,Southern Hemisphere,Very High,5.0,,48.27,
104,Australia,AUS,2018,16.512,15.382,0.014,1.129,2.028,25119700.0,1231576952488.0,64726.418,127.007,7.272,10.0,Oceania,Southern Hemisphere,Very High,5.0,,47.7,34.3
105,Australia,AUS,2019,16.283,15.055,0.014,1.119,1.538,25482714.0,1255505542015.0,65938.531,140.546,7.228,11.0,Oceania,Southern Hemisphere,Very High,5.0,,46.82,
106,Australia,AUS,2020,15.481,14.541,0.014,1.134,3.649,25743787.0,1232259790388.0,61584.258,162.166,7.223,12.0,Oceania,Southern Hemisphere,Very High,5.0,,46.82,33.8
107,Australia,AUS,2021,14.966,13.99,0.014,1.054,2.229,25956417.0,1296705194119.0,61230.445,193.787,7.183,11.0,Oceania,Southern Hemisphere,Very High,5.0,,46.82,
108,Austria,AUT,2013,7.989,10.749,0.002,0.192,0.001,8481411.0,352182904722.0,48441.508,137.063,7.369,8.0,Europe,Northern Hemisphere,Very High,25.0,,27.32,30.8
109,Austria,AUT,2014,7.506,10.761,0.002,0.181,-0.005,8547812.0,354511819035.0,46197.699,135.54,7.2844999999999995,,Europe,Northern Hemisphere,Very High,25.0,,27.48,30.5
110,Austria,AUT,2015,7.677,10.082,0.002,0.187,-0.08,8644037.0,358108266932.0,45856.262,128.618,7.2,13.0,Europe,Northern Hemisphere,Very High,25.0,,26.4,30.5
111,Austria,AUT,2016,7.693,10.155,0.002,0.19,-0.118,8737920.0,365232738553.0,46881.992,136.689,7.119,12.0,Europe,Northern Hemisphere,Very High,25.0,,26.89,30.8
112,Austria,AUT,2017,7.91,10.071,0.002,0.193,-0.078,8798779.0,373481694490.0,47457.57,136.104,7.006,13.0,Europe,Northern Hemisphere,Very High,25.0,,25.62,29.7
113,Austria,AUT,2018,7.529,10.007,0.002,0.181,-0.044,8841653.0,382540042762.0,46190.699,132.866,7.139,12.0,Europe,Northern Hemisphere,Very High,25.0,,25.39,30.8
114,Austria,AUT,2019,7.651,9.753,0.002,0.183,-0.078,8880876.0,388344674039.0,48188.984,143.464,7.246,10.0,Europe,Northern Hemisphere,Very High,25.0,,24.62,30.2
115,Austria,AUT,2020,6.97,8.833,0.003,0.177,-0.09,8921402.0,363281092036.0,44852.156,144.513,7.294,9.0,Europe,Northern Hemisphere,Very High,25.0,,24.62,29.8
116,Austria,AUT,2021,7.333,9.535,0.003,0.178,-0.058,8967053.0,379835198584.0,45314.195,138.067,7.268,10.0,Europe,Northern Hemisphere,Very High,25.0,,24.62,30.7
135,Belgium,BEL,2013,9.213,18.527,0.005,0.291,0.208,11160277.0,425993254852.0,62894.422,36.852,6.967,21.0,Europe,Northern Hemisphere,Very High,13.0,,30.08,27.7
136,Belgium,BEL,2014,8.66,18.472,0.006,0.274,0.293,11210113.0,432717694183.0,58059.273,38.442,6.952,,Europe,Northern Hemisphere,Very High,13.0,,30.04,28.1
137,Belgium,BEL,2015,8.987,17.884,0.006,0.286,0.391,11275332.0,441551470878.0,58306.633,42.857,6.937,19.0,Europe,Northern Hemisphere,Very High,13.0,,29.32,27.7
138,Belgium,BEL,2016,8.808,18.298,0.006,0.282,0.252,11332707.0,447144517813.0,62607.219,44.179,6.929,18.0,Europe,Northern Hemisphere,Very High,13.0,,29.39,27.6
139,Belgium,BEL,2017,8.727,17.846,0.006,0.276,0.358,11376583.0,454386396677.0,62940.031,48.534,6.891,17.0,Europe,Northern Hemisphere,Very High,13.0,,34.02,27.4
140,Belgium,BEL,2018,8.772,18.542,0.006,0.273,0.326,11428608.0,462533269863.0,62492.762,51.595,6.927,16.0,Europe,Northern Hemisphere,Very High,13.0,,34.48,27.2
141,Belgium,BEL,2019,8.685,17.795,0.006,0.269,0.338,11490623.0,472897988852.0,64258.418,56.982,6.923,18.0,Europe,Northern Hemisphere,Very High,13.0,,33.45,27.2
142,Belgium,BEL,2020,7.908,15.8,0.006,0.26,0.293,11540102.0,447544069854.0,57530.324,68.902,6.864,20.0,Europe,Northern Hemisphere,Very High,13.0,,33.45,26.0
143,Belgium,BEL,2021,8.204,17.442,0.006,0.257,0.255,11570843.0,474995824355.0,63805.598,67.433,6.834,20.0,Europe,Northern Hemisphere,Very High,13.0,,33.45,26.6
171,Bangladesh,BGD,2013,0.414,0.41,0.002,0.184,0.064,156532134.0,486135250102.0,1958.554,2.491,4.804,108.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.91,
172,Bangladesh,BGD,2014,0.428,0.676,0.002,0.19,0.067,157964931.0,516793803718.0,2016.64,2.185,4.7490000000000006,,Asia,Northern Hemisphere,Medium,129.0,SA,2.15,
173,Bangladesh,BGD,2015,0.483,0.482,0.002,0.217,0.079,159383179.0,552104723056.0,2416.201,3.053,4.694,109.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.54,
174,Bangladesh,BGD,2016,0.508,0.787,0.002,0.231,0.071,160811934.0,589932630231.0,2404.679,2.861,4.643,110.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.33,32.4
175,Bangladesh,BGD,2017,0.534,0.826,0.002,0.241,0.072,162186146.0,630957812405.0,2484.585,3.451,4.608,110.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.37,
176,Bangladesh,BGD,2018,0.53,0.852,0.002,0.236,0.104,163523109.0,678912369102.0,2631.359,3.046,4.5,115.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.84,
177,Bangladesh,BGD,2019,0.575,0.901,0.002,0.256,0.098,164913060.0,717214595514.0,2926.16,3.085,4.456,125.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.88,
178,Bangladesh,BGD,2020,0.576,0.894,0.002,0.272,0.086,166298024.0,754358367084.0,2750.767,2.985,4.833,107.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.88,
179,Bangladesh,BGD,2021,0.588,0.942,0.002,0.267,0.079,167658855.0,807308397444.0,2937.336,3.301,5.025,101.0,Asia,Northern Hemisphere,Medium,129.0,SA,2.88,
180,Bulgaria,BGR,2013,5.862,5.168,0.002,0.121,-0.968,7264605.0,109643527181.0,27270.346,19.013,3.981,144.0,Europe,Northern Hemisphere,High,68.0,,17.08,36.6
181,Bulgaria,BGR,2014,6.253,5.473,0.002,0.127,-0.676,7223450.0,110703533681.0,29286.607,20.18,4.0995,,Europe,Northern Hemisphere,High,68.0,,17.58,37.4
182,Bulgaria,BGR,2015,6.705,5.711,0.002,0.136,-0.844,7177515.0,114498611934.0,31303.371,23.999,4.218,134.0,Europe,Northern Hemisphere,High,68.0,,19.12,38.6
